restaurant, days
"Ka 'Ikena Restaurant at Kapiolani Community College","Monday,Friday 3:00pm-1:00am / Tuesday,Thursday,Saturday 7:15am-5:45pm / Wednesday 1:00pm-9:45pm / Sunday 8:15am-6:30pm"
"Hapuna-Ocean Terrace","Monday-Tuesday,Friday-Saturday 12:15pm-5:00pm / Wednesday 6:15am-8:45pm / Thursday 7:00am-6:00pm / Sunday 10:15am-3:00am"
"P. F. Chang's -Waikiki","Monday-Tuesday 5:15pm-2:15am / Wednesday 7:00am-12:45pm / Thursday 5:30pm-2:30am / Friday-Saturday 4:00pm-1:15am / Sunday 4:45pm-1:15am"
"Huggo's","Monday-Tuesday 10:30am-2:30am / Wednesday 7:15am-8:45am / Thursday 11:15am-4:15pm / Friday,Sunday 6:00am-2:30am / Saturday 3:15pm-3:00am"
"Hula Grill -Waikiki","Monday,Saturday 12:30pm-1:15am / Tuesday,Thursday 5:00pm-1:30am / Wednesday 12:00pm-7:45pm / Friday 8:45am-12:45pm / Sunday 12:45pm-1:15pm"
"Sarento's Top of the “I”","Monday-Tuesday,Friday 11:45am-11:15pm / Wednesday 9:15am-8:30pm / Thursday 3:30pm-11:30pm / Saturday 8:15am-8:30pm / Sunday 2:15pm-12:00pm"
"The Tavern -Kauai","Monday,Thursday 9:45am-1:00pm / Tuesday,Sunday 11:15am-8:30pm / Wednesday 6:00am-3:15pm / Friday 2:15pm-10:30pm / Saturday 12:15pm-7:30pm"
"Kan Zaman","Monday,Thursday 8:30am-3:15am / Tuesday-Wednesday 11:45am-4:30pm / Friday 6:00am-3:00pm / Saturday 3:15pm-1:30am / Sunday 7:00am-8:00pm"
"MATTEO'S OSTERIA","Monday 8:15am-10:00am / Tuesday 10:45am-2:30pm / Wednesday,Friday 4:45pm-12:30pm / Thursday 2:15pm-3:00pm / Saturday-Sunday 1:15pm-9:30pm"
"Son'z Steakhouse","Monday 1:15pm-6:30pm / Tuesday 5:00am-4:45pm / Wednesday 10:45am-4:30pm / Thursday 2:00pm-7:30pm / Friday 5:00am-1:15am / Saturday 8:00am-9:45am / Sunday 5:00pm-6:30pm"
"Pineapple Grill at Kapalua","Monday,Saturday 6:00am-5:45pm / Tuesday 10:00am-2:15pm / Wednesday 2:30pm-1:30am / Thursday 5:45am-1:00am / Friday 2:00pm-4:45pm / Sunday 5:30pm-9:45pm"
"Hy's Steak House -Waikiki","Monday 7:45am-5:00pm / Tuesday,Thursday 1:00pm-1:30am / Wednesday 6:15am-8:15pm / Friday-Sunday 2:45pm-11:00pm"
"Hau Tree Lanai","Sunday-Monday 8:00am-10:45am / Tuesday-Wednesday 5:30pm-11:30pm / Thursday-Friday 5:00am-7:30pm / Saturday 12:45pm-9:15pm"
"Sushi Yuzu -Ko'olina","Monday,Wednesday 1:30pm-6:45pm / Tuesday 2:30pm-3:45pm / Thursday 7:45am-8:30am / Friday 11:30am-2:00pm / Saturday 7:15am-1:15pm / Sunday 5:00am-10:30pm"
"Three Fat Pigs","Monday,Thursday,Saturday 8:45am-3:30am / Tuesday,Friday 6:00am-9:15am / Wednesday 12:45pm-11:00pm / Sunday 7:45am-11:45am"
"Mi's Italian Bistro","Monday 1:00pm-3:45am / Tuesday,Saturday 3:45pm-8:00pm / Wednesday 6:15am-1:45pm / Thursday 9:15am-3:30am / Friday 10:30am-1:30am / Sunday 12:30pm-5:15pm"
"Mariposa at Neiman Marcus -Ala Moana","Monday,Wednesday-Thursday 5:30pm-12:30pm / Tuesday 3:15pm-12:00pm / Friday,Sunday 5:15pm-3:15am / Saturday 9:45am-9:45pm"
"12th Ave. Grill","Monday 1:45pm-3:00pm / Tuesday 8:45am-2:15am / Wednesday 6:45am-10:45am / Thursday,Saturday 5:45am-11:15am / Friday 3:45pm-2:30am / Sunday 5:00pm-3:45am"
"Bills Sydney","Monday 5:30pm-10:00pm / Tuesday 9:15am-5:00pm / Wednesday 3:00pm-3:45am / Thursday 10:15am-10:15pm / Friday 1:00pm-8:15pm / Saturday 5:30am-7:15am / Sunday 12:45pm-3:30am"
"Wai'oli Tea Room","Monday 4:30pm-2:30am / Tuesday 3:15pm-11:30pm / Wednesday,Sunday 5:45am-1:15pm / Thursday 5:15pm-9:15pm / Friday 11:30am-12:15pm / Saturday 11:45am-10:45pm"
"Bali Steak & Seafood","Monday 9:00am-2:45am / Tuesday 3:15pm-6:30pm / Wednesday,Saturday 4:00pm-9:15pm / Thursday 2:45pm-9:00pm / Friday,Sunday 9:45am-1:00am"
"Daylight Mind Coffee Company","Monday 3:30pm-10:45pm / Tuesday,Sunday 5:30am-9:15pm / Wednesday 9:15am-8:45pm / Thursday,Saturday 9:15am-8:15pm / Friday 6:15am-8:00pm"
"Morimoto -Maui","Monday 10:00am-3:00pm / Tuesday 10:30am-1:00am / Wednesday 11:00am-9:00pm / Thursday,Sunday 4:00pm-11:15pm / Friday 6:15am-11:30am / Saturday 9:15am-3:30pm"
"Hawaii Calls -Marriott Waikoloa","Monday,Thursday 11:00am-7:45pm / Tuesday 5:15am-3:30pm / Wednesday 11:00am-1:00am / Friday 7:15am-3:30pm / Saturday 12:45pm-1:30pm / Sunday 6:30am-10:45am"
"Koa's Seaside Grill","Monday,Friday 5:00am-3:45am / Tuesday 10:00am-12:15pm / Wednesday-Thursday 3:30pm-12:15pm / Saturday 1:30pm-11:30pm / Sunday 11:45am-6:30pm"
"Merriman's -Kapalua Maui","Monday-Tuesday,Thursday 5:30pm-8:30pm / Wednesday 4:30pm-7:30pm / Friday 9:30am-3:00am / Saturday 7:15am-3:45pm / Sunday 5:00am-6:00am"
"Ka'ana Kitchen at Andaz Maui","Monday-Tuesday 2:00pm-11:00pm / Wednesday 3:45pm-9:00pm / Thursday 2:00pm-1:00am / Friday 2:15pm-4:30pm / Saturday-Sunday 12:30pm-1:00am"
"Naupaka Terrace","Monday 3:45pm-8:00pm / Tuesday 8:15am-2:45am / Wednesday 1:30pm-5:45pm / Thursday 11:15am-3:30pm / Friday 12:15pm-7:00pm / Saturday 2:15pm-3:00pm / Sunday 9:45am-1:15am"
"MW Restaurant","Monday-Wednesday 3:30pm-8:30pm / Thursday 8:45am-4:45pm / Friday 3:30pm-3:00am / Saturday 12:00pm-11:45pm / Sunday 12:30pm-2:45pm"
"Ko at The Fairmont Kea Lani","Monday,Saturday 11:30am-4:45pm / Tuesday 6:30am-11:30am / Wednesday 8:45am-10:15am / Thursday 11:00am-12:45pm / Friday 3:45pm-6:15pm / Sunday 5:45am-10:30pm"
"The Terrace -Four Seasons Lanai","Monday 3:30pm-6:45pm / Tuesday 8:30am-10:30am / Wednesday-Thursday 10:00am-7:15pm / Friday 11:15am-2:15am / Saturday 2:45pm-2:15am / Sunday 5:30pm-8:15pm"
"Gyotaku -King St.","Monday 7:45am-2:30pm / Tuesday,Saturday 10:15am-8:15pm / Wednesday 6:45am-2:15am / Thursday 1:00pm-2:30pm / Friday 6:00am-12:15pm / Sunday 5:45pm-1:45am"
"Fleetwood's On Front St.","Monday-Tuesday 4:00pm-11:15pm / Wednesday,Friday 2:00pm-10:15pm / Thursday,Sunday 3:30pm-5:45pm / Saturday 11:15am-11:45pm"
"Keoki's Paradise","Monday 11:15am-12:15pm / Tuesday 12:45pm-3:15am / Wednesday,Friday 7:15am-2:00am / Thursday,Sunday 7:15am-1:45am / Saturday 4:30pm-6:15pm"
"Josselin's Tapas Bar and Grill","Monday 11:00am-1:15pm / Tuesday 1:30pm-4:15pm / Wednesday 8:30am-12:30pm / Thursday 7:00am-3:15pm / Friday-Saturday 9:00am-12:00pm / Sunday 1:30pm-9:45pm"
"Cafe Miro","Monday-Tuesday 11:00am-7:45pm / Wednesday-Thursday 6:00am-2:45am / Friday 11:45am-1:30pm / Saturday 7:00am-11:45am / Sunday 6:00am-2:45pm"
"Roy's Ko'Olina","Monday 1:45pm-10:30pm / Tuesday 12:00pm-8:45pm / Wednesday,Friday 4:30pm-11:30pm / Thursday 7:45am-7:00pm / Saturday 2:45pm-11:45pm / Sunday 5:30am-10:15am"
"Oceanarium Restaurant","Monday 5:00pm-10:00pm / Tuesday,Friday 1:15pm-7:45pm / Wednesday 12:15pm-9:45pm / Thursday 3:15pm-6:30pm / Saturday-Sunday 5:15am-6:00pm"
"Morimoto Waikiki","Sunday-Monday 9:15am-10:30am / Tuesday 9:45am-7:30pm / Wednesday 7:30am-6:15pm / Thursday 5:15am-11:30am / Friday 4:45pm-2:15am / Saturday 8:45am-12:30pm"
"Prima","Monday-Tuesday 12:15pm-3:15am / Wednesday-Thursday 3:30pm-2:00am / Friday 12:15pm-1:15pm / Saturday 11:45am-12:00pm / Sunday 4:00pm-2:00am"
"Maui Fish and Pasta","Monday,Wednesday,Saturday 4:45pm-7:00pm / Tuesday 6:00am-9:30am / Thursday-Friday 7:45am-10:15am / Sunday 9:30am-10:00am"
"Ocean Pool Bar & Grill -Westin Kaanapali Ocean Resort Villas","Monday 6:45am-10:00pm / Tuesday,Sunday 11:45am-7:00pm / Wednesday,Friday 7:45am-4:30pm / Thursday,Saturday 12:45pm-5:30pm"
"Yuzu Ala Moana","Monday-Tuesday 8:15am-12:45pm / Wednesday-Thursday 10:30am-2:30pm / Friday 5:15am-1:45pm / Saturday 5:15pm-12:15pm / Sunday 7:15am-12:15pm"
"Merriman's – Waimea – Big Island","Monday,Friday 2:30pm-10:00pm / Tuesday 1:00pm-3:15am / Wednesday-Thursday 3:45pm-3:45am / Saturday 10:45am-6:30pm / Sunday 3:45pm-5:45pm"
"Nanea Restaurant and Bar","Monday 7:15am-10:45pm / Tuesday 9:30am-12:45pm / Wednesday-Thursday 9:00am-5:30pm / Friday 5:30am-6:45am / Saturday 6:30am-9:45pm / Sunday 8:00am-3:30am"
"Sansei Seafood Restaurant & Sushi Bar -WAIKIKI Oahu","Monday,Thursday 3:00pm-12:30pm / Tuesday,Sunday 11:00am-8:15pm / Wednesday 5:30am-7:30pm / Friday-Saturday 8:15am-10:45pm"
"Vino Italian Tapas & Wine Bar","Monday,Friday 10:30am-2:30pm / Tuesday 5:45am-7:15am / Wednesday 6:15am-6:00pm / Thursday,Sunday 6:45am-8:15pm / Saturday 5:15am-1:30am"
"Buzz's Original Steakhouse","Monday,Thursday 8:00am-1:30am / Tuesday 11:00am-3:30pm / Wednesday 2:15pm-3:15pm / Friday 5:30pm-11:45pm / Saturday 6:15am-7:45pm / Sunday 12:00pm-1:15am"
"VIEWS -Four Seasons Lanai","Monday,Thursday 3:00pm-10:00pm / Tuesday 12:15pm-1:45pm / Wednesday 4:45pm-7:30pm / Friday-Saturday 11:45am-9:30pm / Sunday 4:00pm-9:30pm"
"Imari A La Carte Dining -Hilton Waikoloa Village","Monday-Tuesday 7:00am-8:45pm / Wednesday 4:45pm-12:30pm / Thursday 4:00pm-12:00pm / Friday 7:00am-5:15pm / Saturday 8:45am-10:00pm / Sunday 10:00am-9:45pm"
"Honu Seafood and Pizza -Lahaina","Monday-Tuesday 5:00am-10:00pm / Wednesday 6:15am-12:30pm / Thursday,Saturday 2:45pm-11:30pm / Friday 9:45am-10:30am / Sunday 4:00pm-7:00pm"
"Dondero's -Grand Hyatt Kauai","Monday,Thursday-Friday 1:15pm-11:15pm / Tuesday 8:30am-1:30am / Wednesday 3:00pm-7:30pm / Saturday 8:30am-1:15am / Sunday 12:15pm-1:00am"
"Duke's Kauai","Monday 3:15pm-9:15pm / Tuesday,Thursday-Friday 7:15am-11:15am / Wednesday 3:15pm-5:30pm / Saturday 8:00am-10:00pm / Sunday 9:45am-3:45pm"
"Japengo -Maui","Monday,Wednesday 10:30am-11:15am / Tuesday 12:15pm-5:15pm / Thursday 9:15am-12:00pm / Friday 1:30pm-11:00pm / Saturday 10:00am-12:45pm / Sunday 4:30pm-12:00pm"
"Ferraro's Bar e Ristorante Maui","Monday,Friday 4:30pm-6:00pm / Tuesday 7:30am-10:15pm / Wednesday,Saturday 10:45am-11:00am / Thursday 12:15pm-2:00am / Sunday 3:30pm-6:30pm"
"Sarento's on the Beach","Monday 5:00pm-8:30pm / Tuesday 2:00pm-3:30pm / Wednesday 7:45am-9:30am / Thursday 7:30am-2:30am / Friday 3:45pm-2:00am / Saturday 10:30am-3:30pm / Sunday 8:15am-9:15am"
"Sushi Bushido","Monday-Tuesday 11:45am-3:15am / Wednesday 5:00am-7:00am / Thursday 6:15am-1:45am / Friday 6:30am-12:00pm / Saturday 8:45am-4:15pm / Sunday 1:30pm-2:00am"
"Gazen Izakaya","Monday,Thursday 5:15am-3:45pm / Tuesday-Wednesday,Saturday 5:45am-7:45am / Friday 11:00am-10:45pm / Sunday 3:30pm-6:30pm"
"The Veranda at the Kahala Resort","Monday 7:00am-12:30pm / Tuesday 12:15pm-6:30pm / Wednesday,Saturday 8:00am-2:30pm / Thursday 5:45am-1:15am / Friday 5:45am-10:00am / Sunday 5:15pm-6:45pm"
"Longhi's Ala Moana","Monday 2:00pm-7:15pm / Tuesday,Saturday 5:15pm-8:15pm / Wednesday 2:45pm-11:30pm / Thursday 2:45pm-3:45pm / Friday 4:00pm-6:00pm / Sunday 3:15pm-6:30pm"
"Pagoda Floating Restaurant","Monday 4:15pm-8:00pm / Tuesday 5:30am-1:00am / Wednesday 2:00pm-10:45pm / Thursday-Friday 5:15pm-6:15pm / Saturday-Sunday 11:15am-1:00pm"
"Humuhumu -Grand Wailea","Monday 1:00pm-10:30pm / Tuesday 9:45am-4:00pm / Wednesday-Thursday 5:00am-12:15pm / Friday,Sunday 2:30pm-12:00pm / Saturday 1:45pm-8:15pm"
"5 Palms Restaurant","Monday 6:00am-4:30pm / Tuesday 5:30pm-6:15pm / Wednesday 8:15am-9:15am / Thursday 11:15am-2:15pm / Friday 3:15pm-2:15am / Saturday 3:00pm-2:45am / Sunday 2:30pm-2:45am"
"Hoku's","Monday 1:15pm-5:15pm / Tuesday 10:30am-6:45pm / Wednesday 11:45am-4:45pm / Thursday-Friday 1:00pm-1:15am / Saturday 3:45pm-1:00am / Sunday 5:30am-5:15pm"
"Il Lupino","Monday 12:30pm-6:15pm / Tuesday 3:15pm-11:30pm / Wednesday-Thursday 6:00am-6:15pm / Friday 8:45am-9:00am / Saturday 7:00am-12:15pm / Sunday 12:45pm-7:45pm"
"Wai’olu Ocean View Lounge","Monday 7:15am-7:15pm / Tuesday 10:00am-4:45pm / Wednesday,Friday 9:00am-3:15pm / Thursday 12:00pm-9:00pm / Saturday 10:15am-11:15pm / Sunday 11:30am-1:00am"
"Lahaina Fish Co.","Monday,Wednesday 10:15am-11:15pm / Tuesday 1:45pm-12:15pm / Thursday 11:45am-9:15pm / Friday 9:00am-5:15pm / Saturday 6:45am-8:15pm / Sunday 1:45pm-3:15pm"
"Ilima Terrace -Grand Hyatt Kauai","Monday,Wednesday 9:00am-4:30pm / Tuesday 7:45am-2:30am / Thursday 6:45am-12:45pm / Friday 10:30am-2:15am / Saturday 4:00pm-9:15pm / Sunday 10:15am-11:45pm"
"Sushi Shiono","Monday,Friday 10:15am-1:00am / Tuesday,Sunday 1:15pm-12:15pm / Wednesday-Thursday 4:30pm-2:00am / Saturday 10:00am-8:30pm"
"Japengo -Waikiki","Monday-Tuesday,Friday-Saturday 10:30am-10:45pm / Wednesday 10:30am-4:30pm / Thursday 1:45pm-1:15am / Sunday 1:15pm-3:15pm"
"Sansei Seafood Restaurant & Sushi Bar -WAIKOLOA Hawaii","Monday-Tuesday 8:15am-4:45pm / Wednesday 5:15am-1:00pm / Thursday 2:30pm-9:15pm / Friday,Sunday 12:45pm-5:30pm / Saturday 1:30pm-4:15pm"
"'Ulu Ocean Grill and Sushi Lounge","Monday,Friday 2:30pm-8:00pm / Tuesday 11:00am-2:00pm / Wednesday 1:15pm-3:15am / Thursday 10:00am-3:15am / Saturday 5:00am-11:30am / Sunday 10:45am-5:00pm"
"Restaurant & Bar KO","Monday-Tuesday 4:30pm-10:00pm / Wednesday 6:00am-7:30pm / Thursday 1:15pm-3:45am / Friday 6:15am-6:45pm / Saturday 6:15am-12:15pm / Sunday 5:15pm-2:15am"
"Haliimaile General Store","Monday 12:45pm-1:45pm / Tuesday 3:30pm-8:45pm / Wednesday 2:30pm-9:30pm / Thursday 1:45pm-11:00pm / Friday,Sunday 2:45pm-5:00pm / Saturday 3:00pm-1:30am"
"Nick's Fishmarket Maui","Monday,Friday 9:30am-8:15pm / Tuesday-Wednesday 5:45am-5:15pm / Thursday 8:45am-11:15am / Saturday 2:30pm-12:30pm / Sunday 7:30am-7:00pm"
"Kincaid's -Honolulu","Monday 7:15am-3:30pm / Tuesday-Wednesday 7:30am-5:45pm / Thursday 1:15pm-9:30pm / Friday,Sunday 12:00pm-8:30pm / Saturday 5:00am-7:00pm"
"Monkeypod Kitchen -Ko Olina","Monday,Thursday 5:45am-8:15pm / Tuesday-Wednesday 7:00am-1:45pm / Friday 3:30pm-6:15pm / Saturday-Sunday 1:30pm-2:30am"
"Charley's Restaurant & Saloon","Monday,Thursday 7:00am-4:15pm / Tuesday-Wednesday 9:00am-12:00pm / Friday 4:45pm-1:00am / Saturday 4:45pm-2:30am / Sunday 6:30am-1:45am"
"Saltimbocca","Monday-Tuesday 2:45pm-6:45pm / Wednesday 4:45pm-3:30am / Thursday 10:00am-6:15pm / Friday 5:15pm-8:45pm / Saturday 5:15pm-1:30am / Sunday 1:45pm-1:00am"
"Ocean House Restaurant","Monday 5:30am-11:45pm / Tuesday 5:30pm-12:00pm / Wednesday-Thursday 9:00am-3:15pm / Friday 3:00pm-11:45pm / Saturday 4:45pm-10:30pm / Sunday 2:45pm-11:45pm"
"Kai Sushi -The Ritz-Carlton Kapalua","Monday-Tuesday 2:30pm-12:15pm / Wednesday,Sunday 1:00pm-5:00pm / Thursday,Saturday 11:15am-4:00pm / Friday 5:00am-10:00pm"
"The Terrace Chef-Crafted -The Ritz-Carlton Kapalua","Monday,Wednesday,Friday 2:45pm-10:30pm / Tuesday,Thursday 3:00pm-7:30pm / Saturday 5:00am-10:15am / Sunday 5:45pm-8:00pm"
"Roy's Waikoloa Bar & Grill","Monday 4:30pm-11:00pm / Tuesday 4:30pm-1:15am / Wednesday 3:45pm-11:30pm / Thursday 11:00am-8:45pm / Friday 6:45am-9:45pm / Saturday 3:15pm-12:45pm / Sunday 2:45pm-8:30pm"
"Fresco -Hilton Hawaiian Village","Monday,Friday 7:15am-9:15pm / Tuesday 1:15pm-10:15pm / Wednesday 5:45am-8:00pm / Thursday 10:45am-11:00am / Saturday 5:00pm-12:00pm / Sunday 12:45pm-10:30pm"
"The Pineapple Room by Alan Wong","Monday 3:30pm-7:45pm / Tuesday 1:45pm-9:15pm / Wednesday 9:30am-11:15pm / Thursday-Friday 11:30am-11:45pm / Saturday 7:45am-8:30pm / Sunday 1:15pm-8:15pm"
"Grand Dining Room -Grand Wailea -Waldorf Astoria","Saturday-Monday 1:15pm-4:15pm / Tuesday 9:15am-6:45pm / Wednesday 4:15pm-5:30pm / Thursday 9:00am-10:30pm / Friday 3:30pm-7:00pm"
"Kobe Japanese Steak House Maui","Monday,Thursday 2:15pm-5:15pm / Tuesday-Wednesday,Sunday 3:45pm-5:00pm / Friday 6:30am-9:15am / Saturday 10:15am-3:15am"
"Casa di Amici","Monday-Friday 5:30am-1:30am / Saturday 5:00am-5:15pm / Sunday 1:30pm-3:45am"
"Black Rock Steak & Seafood","Monday 8:00am-3:30pm / Tuesday 9:15am-12:15pm / Wednesday 12:00pm-10:00pm / Thursday 11:30am-3:45am / Friday 9:00am-1:15am / Saturday-Sunday 7:45am-11:45pm"
"Kono's on the Green","Monday 12:45pm-8:15pm / Tuesday 12:45pm-2:15pm / Wednesday,Saturday-Sunday 9:00am-3:45pm / Thursday 10:15am-4:15pm / Friday 1:15pm-12:00pm"
"Fu Lin Seafood Chinese Restaurant","Monday,Saturday 2:00pm-2:30am / Tuesday 7:15am-3:15pm / Wednesday 11:15am-3:45pm / Thursday 3:15pm-12:15pm / Friday 7:15am-2:15pm / Sunday 3:45pm-8:45pm"
"Mac 24/7 Bar & Restaurant","Sunday-Monday 9:45am-11:30am / Tuesday-Wednesday 3:15pm-9:15pm / Thursday,Saturday 11:30am-5:15pm / Friday 8:45am-5:45pm"
"Rita's Steak & Fish House","Monday 5:45pm-11:45pm / Tuesday 2:15pm-5:45pm / Wednesday,Friday 1:00pm-9:00pm / Thursday 5:00am-12:30pm / Saturday 3:00pm-5:30pm / Sunday 2:15pm-1:15am"
"Gerard's Restaurant Maui","Sunday-Monday,Thursday 1:00pm-2:30am / Tuesday-Wednesday 12:45pm-7:45pm / Friday 11:30am-5:45pm / Saturday 4:00pm-10:30pm"
"Stage Restaurant Hawaii","Monday,Wednesday 5:45am-3:30am / Tuesday 5:00am-12:15pm / Thursday,Saturday 12:00pm-10:45pm / Friday 7:30am-1:15pm / Sunday 9:00am-3:30am"
"Rays on the Bay","Monday 9:00am-8:30pm / Tuesday-Wednesday 10:15am-3:15am / Thursday,Saturday 2:00pm-8:15pm / Friday 12:00pm-1:00am / Sunday 7:30am-8:00pm"
"Roy's -Kaanapali","Monday,Wednesday-Thursday 9:30am-5:45pm / Tuesday 10:30am-9:00pm / Friday 1:00pm-4:45pm / Saturday-Sunday 8:00am-1:45pm"
"Chart House -Waikiki","Monday,Wednesday 12:30pm-3:15am / Tuesday,Saturday 5:15am-10:45pm / Thursday 2:15pm-4:00pm / Friday 4:15pm-9:15pm / Sunday 7:30am-10:30am"
"Kailani","Sunday-Wednesday 10:00am-2:00pm / Thursday 12:45pm-1:15pm / Friday 4:15pm-1:00am / Saturday 11:15am-1:00am"
"Cactus","Monday,Thursday 5:00pm-7:30pm / Tuesday,Saturday-Sunday 7:00am-8:30am / Wednesday 4:00pm-9:15pm / Friday 4:30pm-5:15pm"
"Sale Pepe","Monday,Wednesday 1:45pm-12:45pm / Tuesday 11:30am-6:30pm / Thursday,Sunday 5:00pm-9:00pm / Friday 8:30am-9:15pm / Saturday 12:45pm-10:15pm"
"Eggs 'N Things","Monday 9:15am-10:00pm / Tuesday 5:45pm-10:15pm / Wednesday,Saturday 6:45am-8:15am / Thursday 5:45pm-7:30pm / Friday 2:45pm-9:45pm / Sunday 3:45pm-3:15am"
"Mala Ocean Tavern -Lahaina","Monday 1:45pm-1:00am / Tuesday-Wednesday 4:15pm-3:00am / Thursday-Friday 1:15pm-4:45pm / Saturday 11:45am-1:15pm / Sunday 12:00pm-9:30pm"
"Keei Cafe","Monday 3:30pm-8:00pm / Tuesday,Friday 1:30pm-2:45am / Wednesday 7:15am-9:45am / Thursday,Saturday 7:15am-8:30pm / Sunday 8:30am-8:30pm"
"W Bistro at 1010","Monday-Tuesday 9:00am-7:30pm / Wednesday,Saturday 5:30pm-1:15am / Thursday 11:45am-3:00am / Friday,Sunday 11:15am-7:30pm"
"Kupanaha (Ka'anapali Dinner Theater)","Monday 5:15am-12:30pm / Tuesday,Friday 9:45am-1:00pm / Wednesday 2:45pm-10:00pm / Thursday 6:30am-11:15pm / Saturday 11:00am-1:15am / Sunday 3:00pm-1:15am"
"Seoul Jung -Waikiki Resort Hotel","Monday,Friday 8:45am-10:30pm / Tuesday 1:00pm-7:00pm / Wednesday-Thursday,Sunday 10:15am-8:15pm / Saturday 10:00am-7:15pm"
"Pa'akai (FKA: Twenty One Degrees North)","Monday-Tuesday 4:00pm-1:15am / Wednesday 3:00pm-5:45pm / Thursday 5:45pm-10:00pm / Friday,Sunday 10:15am-11:30pm / Saturday 10:45am-12:00pm"
"Kenichi Pacific","Monday-Wednesday 11:15am-9:45pm / Thursday 1:30pm-3:45am / Friday 7:00am-3:30am / Saturday-Sunday 8:15am-12:30pm"
"Hapuna-Coast Grille","Monday,Friday 3:00pm-6:00pm / Tuesday 11:45am-2:15am / Wednesday 7:45am-1:00am / Thursday 3:00pm-4:15pm / Saturday 8:00am-4:00pm / Sunday 8:15am-8:15pm"
"Tidepools -Grand Hyatt Kauai","Monday 5:00pm-10:45pm / Tuesday,Friday 1:15pm-6:30pm / Wednesday 11:00am-12:15pm / Thursday 4:45pm-8:00pm / Saturday 6:15am-9:30am / Sunday 12:15pm-8:30pm"
"Merriman's -Poipu","Monday,Saturday 5:45pm-12:15pm / Tuesday 4:45pm-1:00am / Wednesday,Friday 4:15pm-6:30pm / Thursday 6:30am-3:00am / Sunday 8:45am-12:00pm"
"Orchids at Halekulani","Monday,Wednesday-Thursday,Saturday 2:15pm-1:45am / Tuesday,Friday,Sunday 10:15am-2:30am"
"Miyako Japanese Restaurant","Monday,Wednesday 11:00am-12:30pm / Tuesday 3:15pm-5:00pm / Thursday 9:00am-10:45am / Friday 10:15am-10:15pm / Saturday 2:15pm-1:15am / Sunday 3:00pm-12:15pm"
"SHOR American Seafood Grill at Hyatt Waikiki","Monday-Tuesday 4:45pm-12:00pm / Wednesday 11:00am-10:45pm / Thursday 5:30pm-1:30am / Friday 7:00am-3:30am / Saturday 1:00pm-10:45pm / Sunday 5:00pm-10:00pm"
"Cane & Canoe -Montage Kapalua Bay","Monday 3:15pm-12:00pm / Tuesday 3:30pm-1:00am / Wednesday-Thursday 7:45am-3:45am / Friday 10:45am-9:30pm / Saturday 3:45pm-11:00pm / Sunday 2:30pm-11:30pm"
"Monstera Noodles & Sushi","Monday,Wednesday 7:00am-9:00pm / Tuesday 11:45am-2:00am / Thursday 9:00am-4:15pm / Friday,Sunday 11:15am-3:15am / Saturday 3:30pm-1:15am"
"Honu's on the Beach Restaurant","Monday,Friday 12:45pm-4:00pm / Tuesday-Wednesday,Sunday 2:15pm-2:15am / Thursday 11:15am-3:00pm / Saturday 3:30pm-12:45pm"
"Ryan's Grill","Monday,Saturday 11:30am-12:00pm / Tuesday,Friday 7:00am-7:30pm / Wednesday 12:30pm-6:15pm / Thursday 6:15am-8:15am / Sunday 11:30am-11:00pm"
"Kalaheo Steak and Ribs","Sunday-Tuesday,Friday 9:30am-11:30am / Wednesday 12:00pm-4:15pm / Thursday 1:00pm-8:15pm / Saturday 3:45pm-5:00pm"
"Imari Teppanyaki -Hilton Waikoloa Village","Monday 2:15pm-11:45pm / Tuesday 9:45am-6:30pm / Wednesday 5:30am-5:30pm / Thursday,Saturday 6:45am-12:15pm / Friday 5:15pm-6:30pm / Sunday 11:15am-11:45pm"
"Don the Beachcomber -Royal Kona Resort","Monday-Tuesday 11:45am-3:45am / Wednesday 12:15pm-1:15am / Thursday 12:15pm-8:00pm / Friday,Sunday 3:45pm-9:15pm / Saturday 1:45pm-6:45pm"
"Mimasuya Italiano of Kyoto","Monday 6:15am-11:30pm / Tuesday-Wednesday 5:30am-6:30pm / Thursday 5:45am-8:00am / Friday 3:15pm-11:15pm / Saturday 2:15pm-1:15am / Sunday 3:15pm-3:00am"
"Lanai City Grille","Monday-Tuesday 5:15am-9:00pm / Wednesday 7:15am-12:15pm / Thursday 4:30pm-12:30pm / Friday 5:45pm-3:15am / Saturday-Sunday 10:00am-2:45pm"
"Beach Tree at the Hualalai","Monday-Tuesday 11:00am-3:45pm / Wednesday 12:15pm-2:15am / Thursday-Friday 1:30pm-3:15am / Saturday 11:45am-7:00pm / Sunday 1:45pm-4:30pm"
"Makana Terrace -St. Regis -Hawaii","Monday 5:00pm-12:30pm / Tuesday 8:45am-3:15pm / Wednesday 3:45pm-5:30pm / Thursday 4:45pm-2:00am / Friday 3:30pm-4:30pm / Saturday 6:15am-6:15pm / Sunday 6:00am-9:30am"
"Sam Choy's Kai Lanai","Monday 2:30pm-11:15pm / Tuesday 8:00am-11:45pm / Wednesday-Thursday 5:15pm-10:15pm / Friday 5:00pm-3:15am / Saturday 9:15am-10:00am / Sunday 3:00pm-1:15am"
"Pulehu an Italian Grill","Monday-Tuesday,Friday 3:00pm-10:00pm / Wednesday 11:45am-6:15pm / Thursday 5:45am-4:45pm / Saturday-Sunday 11:45am-7:00pm"
